item_id,year,item_name,item_description
100,2012,"ButterBurger w/ Cheese, Kids","ButterBurger w/ Cheese, Kids"
10001,2012,Breadstick,"Breadstick, Pick 'n Pair & Lunch Combos"
10002,2012,Toasted Garlic Bread Basket,"Toasted Garlic Bread Basket, Extras, As Served"
10003,2012,"French Onion Soup, Pick 'n Pair & Lunch Combos","French Onion Soup, Pick 'n Pair & Lunch Combos"
10004,2012,"Tomato Basil Soup, Pick 'n Pair & Lunch Combos","Tomato Basil Soup, Pick 'n Pair & Lunch Combos"
10005,2012,"Chili, Pick 'n Pair & Lunch Combos","Chili, Pick 'n Pair & Lunch Combos"
10006,2012,"Baked Potato Soup, Pick 'n Pair & Lunch Combos","Baked Potato Soup, Pick 'n Pair & Lunch Combos"
10007,2012,"Black Bean Soup, Pick 'n Pair & Lunch Combos","Black Bean Soup, Pick 'n Pair & Lunch Combos"
10008,2012,"Chicken Noodle Soup, Pick 'n Pair & Lunch Combos","Chicken Noodle Soup, Pick 'n Pair & Lunch Combos"
10009,2012,"Chicken Tortilla Soup, Pick 'n Pair & Lunch Combos","Chicken Tortilla Soup, Pick 'n Pair & Lunch Combos"
10010,2012,"Broccoli Cheddar Soup, Pick 'n Pair & Lunch Combos","Broccoli Cheddar Soup, Pick 'n Pair & Lunch Combos"
10011,2012,"Clam Chowder, Pick 'n Pair & Lunch Combos","Clam Chowder, Pick 'n Pair & Lunch Combos"
10012,2012,"French Onion Soup, Bowl","French Onion Soup, Extras, As Served, Bowl"
10013,2012,"Tomato Basil Soup, Bowl","Tomato Basil Soup, Extras, As Served, Bowl"
10014,2012,"Chili, Bowl","Chili, Extras, As Served, Bowl"
10015,2012,"Broccoli Cheddar Soup, Bowl","Broccoli Cheddar Soup, Extras, As Served, Bowl"
10016,2012,"Clam Chowder, Bowl","Clam Chowder, Extras, As Served, Bowl"
10017,2012,"Baked Potato Soup, Bowl","Baked Potato Soup, Extras, As Served, Bowl"
10018,2012,"Chicken Tortilla Soup, Bowl","Chicken Tortilla Soup, Extras, As Served, Bowl"
10019,2012,"Chicken Noodle Soup, Bowl","Chicken Noodle Soup, Extras, As Served, Bowl"
10020,2012,Applebee's House Salad,"Applebee's House Salad w/out Dressing, Extras, As Served"
10021,2012,"Fried Chicken Salad, Pick 'n Pair & Lunch Combos","Fried Chicken Salad, Pick 'n Pair & Lunch Combos"
10022,2012,"Grilled Shrimp 'n Spinach Salad, Pick 'n Pair & Lunch Combos","Grilled Shrimp 'n Spinach Salad, Pick 'n Pair & Lunch Combos"
10023,2012,"Oriental Chicken Salad, Pick 'n Pair & Lunch Combos","Oriental Chicken Salad, Pick 'n Pair & Lunch Combos"
10024,2012,"Oriental Grilled Chicken Salad, Pick 'n Pair & Lunch Combos","Oriental Grilled Chicken Salad, Pick 'n Pair & Lunch Combos"
