item_id,year,r_id,cat_id,calories,total_fat,saturated_fat,trans_fat,cholesterol,sodium,potassium,carbs,protein,sugar,dietary_Fiber
100054,2018,72,5,,,,,,,,,,,
100057,2018,72,9,,,,,,,,,,,
100060,2018,72,9,,,,,,,,,,,
100073,2018,72,11,300.0,7.0,3.0,0.0,0.0,760.0,50.0,52.0,8.0,2.0,3.0
10012,2018,1,10,380.0,22.0,13.0,0.0,60.0,1390.0,,27.0,17.0,7.0,2.0
10013,2018,1,10,180.0,12.0,5.0,0.0,20.0,810.0,,16.0,5.0,9.0,3.0
10014,2018,1,10,410.0,25.0,12.0,1.0,130.0,1110.0,,16.0,32.0,7.0,4.0
100160,2018,74,0,660.0,48.0,11.0,0.0,275.0,2870.0,,5.0,52.0,2.0,1.0
100161,2018,74,0,290.0,17.0,9.0,0.5,90.0,780.0,,12.0,22.0,3.0,1.0
100162,2018,74,0,,,,,,,,,,,
100163,2018,74,2,210.0,0.0,0.0,0.0,0.0,95.0,,60.0,0.0,60.0,0.0
100164,2018,74,5,500.0,23.0,11.0,0.5,160.0,1580.0,,26.0,48.0,2.0,3.0
100166,2018,74,5,1220.0,,,,,,,,,,
100168,2018,74,5,940.0,61.0,25.0,0.5,370.0,2300.0,,39.0,57.0,3.0,2.0
100169,2018,74,5,,,,,,,,,,,
100170,2018,74,5,730.0,43.0,5.0,0.0,170.0,850.0,,12.0,73.0,6.0,0.0
100171,2018,74,5,420.0,11.0,1.0,0.0,205.0,500.0,,1.0,70.0,0.0,0.0
100175,2018,74,5,380.0,16.0,3.0,0.0,230.0,1520.0,,31.0,27.0,2.0,1.0
100176,2018,74,5,,,,,,,,,,,
100177,2018,74,5,,,,,,,,,,,
10018,2018,1,10,180.0,8.0,2.0,0.0,20.0,760.0,,20.0,8.0,2.0,2.0
100192,2018,74,5,210.0,4.5,0.0,0.0,100.0,180.0,,3.0,35.0,1.0,1.0
100198,2018,74,5,310.0,18.0,4.0,0.0,110.0,135.0,,3.0,33.0,1.0,1.0
10020,2018,1,8,190.0,12.0,4.5,0.0,25.0,340.0,,11.0,10.0,3.0,2.0
100210,2018,74,5,,,,,,,,,,,
100211,2018,74,5,,,,,,,,,,,
100219,2018,74,11,40.0,0.0,0.0,0.0,0.0,270.0,,10.0,0.0,8.0,0.0
100221,2018,75,0,850.0,47.0,14.0,1.0,35.0,1390.0,,72.0,17.0,7.0,17.0
100226,2018,75,0,1270.0,55.0,11.0,0.0,130.0,4270.0,,137.0,56.0,46.0,19.0
100228,2018,75,0,1220.0,60.0,11.0,0.0,130.0,3000.0,,115.0,54.0,21.0,21.0
100229,2018,75,0,,,,,,,,,,,
10023,2018,1,8,460.0,31.0,5.0,0.0,25.0,630.0,,30.0,16.0,11.0,3.0
100232,2018,75,0,550.0,31.0,6.0,0.0,5.0,970.0,,62.0,7.0,6.0,14.0
100233,2018,75,2,90.0,0.0,0.0,0.0,0.0,15.0,,26.0,0.0,26.0,0.0
10025,2018,1,8,220.0,18.0,3.5,0.0,15.0,320.0,,10.0,4.0,2.0,2.0
