Menu_Item_ID,Customizable_Builds,Customizable_Build_ID,Year,Restaurant,Food_Category,Item_Name,Item_Description,Serving_Size,Serving_Size_text,Serving_Size_Unit,Serving_Size_household,Calories,Total_Fat,Saturated_Fat,Trans_Fat,Cholesterol,Sodium,Potassium,Carbohydrates,Protein,Sugar,Dietary_Fiber,Calories_100g,Total_Fat_100g,Saturated_Fat_100g,Trans_Fat_100g,Cholesterol_100g,Sodium_100g,Potassium_100g,Carbohydrates_100g,Protein_100g,Sugar_100g,Dietary_Fiber_100g,Calories_text,Total_Fat_text,Saturated_Fat_text,Trans_Fat_text,Cholesterol_text,Sodium_text,Potassium_text,Carbohydrates_text,Protein_text,Sugar_text,Dietary_Fiber_text,Kids_Meal,Limited_Time_Offer,Regional,Shareable,Combo_Meal
100,,,2008,Culver's,Burgers,"ButterBurger Cheese, Kids Meals","ButterBurger Cheese, Kids Meals, Kids",168,,g*,,396,20,8,1,78,955,,36,22,,1,236,12,5,1,46,568,,21,13,,1,,,,,,,,,,,,1,0,0,0,0
100353,,,2008,Romano's Macaroni Grill,Salads,Chicken Florentine w/ Dressing,"Chicken Florentine w/ Dressing, Insalata Salads, Lunch & Dinner",,,,,840,53,8,,,5460,,62,33,,7,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
1009,,,2008,Subway,Sandwiches,"Western w/ Cheese Breakfast Sandwich, 6""","Western w/ Cheese Breakfast Sandwich, Breakfast Sandwiches, 6""",229,,g,,450,19,8,0,200,1390,,46,28,6,5,197,8,3,0,87,607,,20,12,3,2,,,,,,,,,,,,0,0,0,0,0
101776,,,2008,Starbucks,Beverages,"Vanilla Latte w/ Whole Milk, Grande","Vanilla Latte w/ Whole Milk, Grande",16,,fl oz,,280,11,6,0,35,135,,36,11,33,0,62,2,1,0,8,30,,8,2,7,0,,,,,,,,,,,,0,0,0,0,0
102444,,,2008,Taco Bell,Toppings & Ingredients,"Guacamole, Side","Guacamole, Side, Specialties",43,,g,,70,5,1,0,0,180,,5,1,1,2,163,12,2,0,0,419,,12,2,2,5,,,,,,,,,,,,0,0,0,0,0
102554,,,2008,Tim Hortons,Baked Goods,Cranberry Fruit Muffin,"Cranberry Fruit Muffin, Muffins",,,,,350,12,15,0,15,560,,59,4,31,2,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
102757,,,2008,Tim Hortons,Beverages,Iced Coffee,"Iced Cappuccino, Beverages",12,,fl oz,,300,15,8,0,50,85,,41,0,40,0,88,4,2,0,15,25,,12,0,12,0,,,,,,,,,,,,0,0,0,0,0
10304,,,2008,Arby's,Sandwiches,"Bacon, Egg & Cheese Biscuit","Bacon, Egg & Cheese Biscuit w/ Biscuit, Bacon, Swiss Slice Processed & Egg Scrambled Patty, Breakfast",158,,g,,461,28,8,0,169,1446,,30,17,4,1,292,18,5,0,107,915,,19,11,3,1,,,,,,,,,,,,0,0,0,0,0
10305,,,2008,Arby's,Sandwiches,Bacon Egg & Cheese Croissant,"Bacon Egg & Cheese Croissant w/ Croissant, Bacon, Swiss Slice Processed, Egg Scrambled Patty, Breakfast",133,,g,,378,22,10,0,198,850,,23,14,3,1,284,17,8,0,149,639,,17,11,2,1,,,,,,,,,,,,0,0,0,0,0
10306,,,2008,Arby's,Sandwiches,"Bacon, Egg & Cheese Sourdough","Bacon, Egg & Cheese Sourdough w/ Sourdough, Bacon, Egg Scrambled Patty & Swiss, Slice Processed , Breakfast",173,,g,,437,16,5,0,174,1220,,40,20,5,2,253,9,3,0,101,705,,23,12,3,1,,,,,,,,,,,,0,0,0,0,0
10307,,,2008,Arby's,Sandwiches,"Bacon, Egg & Cheese Wrap","Bacon, Egg & Cheese Wrap w/ Egg Scrambled Patty, Breakfast Tortilla, American Cheese Slice, Potato Cake & Bacon, Breakfast",193,,g,,515,29,8,5,165,1367,,50,16,2,2,267,15,4,0,85,708,,26,8,1,1,,,,,,,,,,,,0,0,0,0,0
1031,,,2008,Whataburger,Sandwiches,Biscuit Sandwich w/ Egg & Cheese,"Biscuit Sandwich w/ Egg & Cheese, Menu Items",154,,g,,450,28,13,0,224,1028,,33,13,2,1,292,18,8,0,145,668,,21,8,1,1,,,,,,,,,,,,0,0,0,0,0
10323,,,2008,Arby's,Sandwiches,"Ham, Egg & Cheese Biscuit","Ham, Egg & Cheese Biscuit w/ Biscuit, Roast Ham, Egg Scrambled Patty & Swiss Slice Processed, Breakfast",195,,g,,444,24,6,0,171,1734,,31,21,4,1,228,12,3,0,88,889,,16,11,2,1,,,,,,,,,,,,0,0,0,0,0
10324,,,2008,Arby's,Sandwiches,"Ham, Egg & Cheese Croissant","Ham, Egg & Cheese Croissant w/ Egg Scrambled Patty, Croissant, Roast Ham & Swiss Slice Processed, Breakfast",170,,g,,361,18,9,0,200,1138,,23,19,4,1,212,11,5,0,118,669,,14,11,2,1,,,,,,,,,,,,0,0,0,0,0
10325,,,2008,Arby's,Sandwiches,"Ham, Egg & Cheese Sourdough","Ham, Egg & Cheese Sourdough w/ Sourdough, Roast Ham, Egg Scrambled Patty & Swiss Slice Processed, Breakfast",214,,g,,442,14,4,0,180,1586,,41,26,6,2,207,7,2,0,84,741,,19,12,3,1,,,,,,,,,,,,0,0,0,0,0
10326,,,2008,Arby's,Sandwiches,"Ham, Egg, & Cheese Wrap","Ham, Egg, & Cheese Wrap w/ Egg Scrambled Patty, Breakfast Tortilla, American Cheese Slice, Potato Cake, Roast Ham, Breakfast",249,,g,,575,31,10,1,185,2005,,51,25,3,5,231,12,4,0,74,805,,20,10,1,2,,,,,,,,,,,,0,0,0,0,0
1033,,,2008,Whataburger,Sandwiches,Biscuit w/ Bacon,"Biscuit w/ Bacon, Menu Items",97,,g,,350,20,10,0,8,847,,32,8,2,1,361,21,10,0,8,873,,33,8,2,1,,,,,,,,,,,,0,0,0,0,0
10338,,,2008,Arby's,Sandwiches,Roast Turkey Ranch & Bacon Wrap,"Roast Turkey Ranch & Bacon Wrap on Wheat Tortilla Wrap w/ Cheddar, Sliced Natural, Creamy Raunch Spread, Leaf Lettuce, Pepper Bacon, Red Onion Rings, Roast Turkey & Tomato, Sliced, Market Fresh Sandwiches & Wraps",302,,g,,683,37,11,1,102,2103,,44,45,2,4,226,12,4,0,34,696,,15,15,1,1,,,,,,,,,,,,0,0,0,0,0
10339,,,2008,Arby's,Sandwiches,Sausage Biscuit,"Sausage Biscuit w/ Biscuit & Sausage, Breakfast",122,,g,,436,31,9,0,32,1160,,28,10,3,1,357,25,7,0,26,951,,23,8,2,1,,,,,,,,,,,,0,0,0,0,0
1034,,,2008,Whataburger,Sandwiches,Biscuit w/ Sausage,"Biscuit w/ Sausage, Menu Items",159,,g,,540,37,17,0,23,1169,,32,18,2,1,340,23,11,0,14,735,,20,11,1,1,,,,,,,,,,,,0,0,0,0,0
10340,,,2008,Arby's,Sandwiches,Sausage Gravy Biscuit,"Sausage Gravy Biscuit w/ Biscuit, Sausage & Country Gravy, Breakfast",238,,g,,961,68,14,0,12,3755,,107,7,19,1,404,29,6,0,5,1578,,45,3,8,0,,,,,,,,,,,,0,0,0,0,0
10341,,,2008,Arby's,Sandwiches,"Sausage, Egg & Cheese Biscuit","Sausage, Egg & Cheese Biscuit w/ Sausage, Egg Scrambled Patty, Swiss Slice Processed & Biscuit, Breakfast",185,,g,,557,38,11,0,187,1579,,30,18,3,1,301,21,6,0,101,854,,16,10,2,1,,,,,,,,,,,,0,0,0,0,0
10342,,,2008,Arby's,Sandwiches,"Sausage, Egg & Cheese Croissant","Sausage, Egg & Cheese Croissant w/ Croissant, Sausage, Swiss Slice Processed, Egg Scrambled Patty, Breakfast",160,,g,,475,32,13,0,216,982,,23,15,3,1,297,20,8,0,135,614,,14,9,2,1,,,,,,,,,,,,0,0,0,0,0
10343,,,2008,Arby's,Sandwiches,"Sausage, Egg & Cheese Sourdough","Sausage, Egg & Cheese Sourdough w/ Egg Scrambled Patty, Swiss Slice Processed, Sourdough & Sausage, Breakfast",204,,g,,556,28,9,0,197,1431,,40,22,5,2,273,14,4,0,97,701,,20,11,2,1,,,,,,,,,,,,0,0,0,0,0
10344,,,2008,Arby's,Sandwiches,"Sausage, Egg & Cheese Wrap","Sausage, Egg & Cheese Wrap w/ Egg Scrambled Patty, Breakfast Tortilla, American Cheese Slice, Potato Cake & Sausage, Breakfast",239,,g,,689,45,15,1,202,1849,,50,21,2,2,288,19,6,0,85,774,,21,9,1,1,,,,,,,,,,,,0,0,0,0,0
1035,,,2008,Whataburger,Sandwiches,Breakfast on a Bun w/ Bacon,"Breakfast on a Bun w/ Bacon, Menu Item",128,,g,,360,21,6,0,232,807,,25,15,4,1,281,16,5,0,181,630,,20,12,3,1,,,,,,,,,,,,0,0,0,0,0
1036,,,2008,Whataburger,Sandwiches,Breakfast on a Bun w/ Sausage,"Breakfast on a Bun w/ Sausage, Menu Item",190,,g,,550,38,14,0,247,1129,,25,25,4,1,289,20,7,0,130,594,,13,13,2,1,,,,,,,,,,,,0,0,0,0,0
1037,,,2008,Whataburger,Sandwiches,Egg Sandwich,"Egg Sandwich, Menu Item",119,,g,,310,17,5,0,224,604,,25,4,12,1,261,14,4,0,188,508,,21,3,10,1,,,,,,,,,,,,0,0,0,0,0
1038,,,2008,Whataburger,Sandwiches,Honey Butter Chicken Biscuit,"Honey Butter Chicken Biscuit, Menu Item",167,,g,,610,38,12,2,25,1072,,51,14,9,1,365,23,7,1,15,642,,31,8,5,1,,,,,,,,,,,,0,0,0,0,0
